student_id,name,email,credits
10000,爱露,aru@gehenna.edu,0
10001,艾米,eimi@millennium.edu,0
10002,晴奈,haruna@gehenna.edu,0
10003,日富美,hifumi@trinity.edu,0
10004,日奈,hina@gehenna.edu,0
10005,星野,hoshino@abydos.edu,0
10006,伊织,iori@gehenna.edu,0
10007,真纪,maki@millennium.edu,0
10008,妮露,neru@millennium.edu,0
10009,泉,izumi@gehenna.edu,0
10010,白子,shiroko@abydos.edu,0
10011,瞬,shun@shanhaijing.edu,0
10012,堇,sumire@millennium.edu,0
10013,鹤城,tsurugi@trinity.edu,0
13000,茜,akane@millennium.edu,0
13001,千世,chise@hyakkiyako.edu,0
13002,明里,akari@gehenna.edu,0
13003,莲见,hasumi@trinity.edu,0
13004,野宫,nonomi@abydos.edu,0
13005,佳代子,kayoko@gehenna.edu,0
13006,睦月,mutsuki@gehenna.edu,0
13007,纯子,junko@gehenna.edu,0
13008,芹香,serika@abydos.edu,0
13009,椿,tsubaki@hyakkiyako.edu,0
13010,优香,yuuka@millennium.edu,0
16000,春香,haruka@gehenna.edu,0
16001,明日奈,asuna@millennium.edu,0
16002,琴里,kotori@millennium.edu,0
16003,铃美,suzumi@trinity.edu,0
16004,菲娜,pina@hyakkiyako.edu,0
20000,响,hibiki@millennium.edu,0
20001,花凛,karin@millennium.edu,0
20002,纱绫,saya@shanhaijing.edu,0
23000,爱理,airi@trinity.edu,0
23001,风香,fuuka@gehenna.edu,0
23002,花江,hanae@trinity.edu,0
23003,晴,hare@millennium.edu,0
23004,歌原,utaha@millennium.edu,0
23005,绫音,ayane@abydos.edu,0
26000,千夏,chinatsu@gehenna.edu,0
26001,小玉,kotama@millennium.edu,0
26002,朱莉,juri@gehenna.edu,0
26003,芹娜,serina@trinity.edu,0
26004,志美子,shimiko@trinity.edu,0
26005,好美,yoshimi@trinity.edu,0
20003,真白,mashiro@trinity.edu,0
10014,泉奈,izuna@hyakkiyako.edu,0
23006,静子,shizuko@hyakkiyako.edu,0
10015,爱丽丝,aris@millennium.edu,0
10016,绿,midori@millennium.edu,0
13011,桃,momoi@millennium.edu,0
10017,切里诺,cherino@redwinter.edu,0
26006,和香,nodoka@redwinter.edu,0
10018,柚子,yuzu@millennium.edu,0
10019,梓,azusa@trinity.edu,0
23007,花子,hanako@trinity.edu,0
10020,小春,koharu@trinity.edu,0
13012,桐乃,kirino@valkyrie.edu,0
10029,夏,natsu@trinity.edu,0
23008,玛丽,mari@trinity.edu,0
20007,初音未来,hatsune_miku@etc.edu,0
20008,亚子,ako@gehenna.edu,0
16007,巴,tomoe@redwinter.edu,0
10033,若藻,wakamo@hyakkiyako.edu,0
16008,吹雪,fubuki@valkyrie.edu,0
20012,濑名,sena@gehenna.edu,0
20013,千寻,chihiro@millennium.edu,0
10034,三森,mimori@hyakkiyako.edu,0
10035,忧,ui@trinity.edu,0
10036,日向,hinata@trinity.edu,0
10037,真里奈,marina@redwinter.edu,0
10038,宫子,miyako@srt.edu,0
20014,咲,saki@srt.edu,0
10039,美游,miyu@srt.edu,0
20015,枫,kaede@hyakkiyako.edu,0
20016,伊吕波,iroha@gehenna.edu,0
16009,满,michiru@hyakkiyako.edu,0
10040,月咏,tsukuyo@hyakkiyako.edu,0
10041,美咲,misaki@arius.edu,0
20017,日和,hiyori@arius.edu,0
10042,亚津子,atsuko@arius.edu,0
10048,纱织,saori@arius.edu,0
20018,萌绘,moe@srt.edu,0
10049,和纱,kazusa@trinity.edu,0
10050,心奈,kokona@shanhaijing.edu,0
10052,诺亚,noa@millennium.edu,0
20020,日鞠,himari@millennium.edu,0
10055,时雨,shigure@redwinter.edu,0
10058,峰,mine@trinity.edu,0
10059,未花,mika@trinity.edu,0
10060,惠久,megu@gehenna.edu,0
20023,叶渚,kanna@valkyrie.edu,0
10061,樱子,sakurako@trinity.edu,0
10062,时,toki@millennium.edu,0
20024,渚,nagisa@trinity.edu,0
10063,小雪,koyuki@millennium.edu,0
10065,果穗,kaho@hyakkiyako.edu,0
10068,玲纱,reisa@trinity.edu,0
10069,流美,rumi@shanhaijing.edu,0
10070,弥奈,mina@shanhaijing.edu,0
20026,实里,minori@redwinter.edu,0
10075,芽留,meru@redwinter.edu,0
13013,红叶,momiji@redwinter.edu,0
10077,一花,ichika@trinity.edu,0
10078,霞,kasumi@gehenna.edu,0
10079,御坂美琴,misaka_mikoto@tokiwadai.edu,0
10080,食蜂操祈,shokuhou_misaki@tokiwadai.edu,0
26011,佐天泪子,saten_ruiko@sakugawa.edu,0
10081,紫草,yukari@hyakkiyako.edu,0
10082,莲华,renge@hyakkiyako.edu,0
10083,桔梗,kikyou@hyakkiyako.edu,0
16014,伊吹,ibuki@gehenna.edu,0
20033,真琴,makoto@gehenna.edu,0
10090,海香,umika@hyakkiyako.edu,0
10093,绮罗罗,kirara@gehenna.edu,0
10099,星野（临战）,hoshino_battle_dealer@abydos.edu,0
10100,白子＊恐怖,shiroko_terror@abydos.edu,0
